abadi	věčný
litvagi	litevský
loy	bláto, bahno
lozim	nutný, potřebný, nezbytný
lubyo	fazole
luč	nahý, holý
luxtak	loutka, panenka
magni	hořčík
makedoni	makedonský
makidan	sát, cucat
maktab	škola
maktub	dopis, list
malakut	království
malaziyagi	malajský
malla	plavovlasý
mamot	smrt
man	já
mangan	mangan
mano	smysl, význam
manzil	byt
maqz	mozek
mard	muž, manžel
mardona	mužský
mardum	lid
marg	smrt
markaz	střed, centrum
marvorid	perla
Maseh	Mesiáš, Kristus
mast	opilý
matematika	matematika
matn	text
mato	tkanina, látka
Matto	Matouš
mavj	vlna
may	víno
maymun	opice
meš	ovce
metin	krumpáč
meva	ovoce
mexi pečdor	šroub
mexnatdust	pracovník
mezak	moč
mezidan	močit
milal	národ
minatdor	uznalý, vděčný
minqor	zobák
miranda	smrtelný
mis	měď
mîšyak	arzen
miyona	střed, centrum
miz	stůl
mo	my
modar	matka
modyon	kobyla
moh	měsíc
mohi	ryba
mol	zboží
mor	had
mordaxur	sup
muallim	profesor
muhabbat	láska
muhim	důležitý
muqaddas	svatý, posvěcený
murč	pepř
murda	mrtvý, zesnulý
murdagi	mrtvý, zesnulý
murdan	zemřít, skonat, umřít
murud	hruška
musofir	cestovatel, cestující
muš	myš
mušt	pěst
muzd	mzda
nafar	osoba, člověk
najot	spása
namak	sůl
namoz	modlitba
namoz xondan	modlit se, prosit
namudan	zdát se, jevit se
narm	měkký
narx	cena
nasim	safír
nask	čočka
natri	sodík
nav	nový
naxud	hrách
naxustvazir	premiér, předseda vlády
nay	rákos, třtina
nayza	kopí, oštěp
nazdik	blízko
neon	neon
nikel’	nikl
nikoh	manželství
nim	půl, polovina
nisf	polovina
nišasta	položený, umístěný
nišon	znaménko
nišon dodan	ukázat, projevit
ništyak	jeskyně
nok	hruška
nom	jméno
nomdor	zvaný, jmenovaný, řečený
nomidan	pojmenovat, jmenovat
non	chléb
norvegi	norský
noxun	nehet
nuh	devět
nuhum	devátý
nukra	stříbro
nur	světlo
nušidan	pít
nušok	nápoj
ob	voda
odam	člověk
odamiyon	lidé
odamon	lidé
oddiy	prostý, jednoduchý
ofaridan	tvořit, stvořit
oftob	slunce
oftobparast	slunečnice
ohan	železo
ohu	laň
oilador	ženatý, vdaná
oksigen	kyslík
olaš	buk
olim	vědec, učenec
olmoni	německý
olu	švestka
omad	příchod
omadan	přijít, přicházet
omextan	míchat, smísit
omin	amen
omuxtan	učit, vyučovat
omuzgor	učitel
on	ten, ta, to, tamten, tamta, tamto
onho	oni, ony, ona, ti, ty, ta
orinj	loket
orom	klidný, tichý, pokojný
oromi	ticho, klid
orzu	přání
osiyob	mlýn
osmon	nebe
osoištagi	mír, pokoj
ošiq	láska
ošxona	kuchyně
ošyona	hnízdo
otaš	oheň
ovardan	přinášet, přinést
ovexta	pověšený, oběšený
ovextan	pověsit, viset, oběsit
ovoz	hlas
ozari	ázerbájdžánský
ozaxm	bradavice
ozmoiš	pokušení
ozmudan	testovat
ozodona	volnost, svoboda
padar	otec
pakana	trpaslík
palang	tygr
panj	pět
par	pero
paranda	pták
parčam	vlajka, prapor
pardoxtan	platit
paridan	letět, létat
partoftan	zvracet
paša	moucha
pašm	vlna
paxta	bavlna
peš	předek, přední část
Petrus	Petr
pezešk	lékař
pilk	víčko
pir	starý
piramard	stařec
pirduxtar	stará panna
piston	vemeno
piyodagard	chodec, pěší
piyola	šálek, hrnek
piyoz	cibule, pórek
po	noha
pok	vlastní, příslušný
polyaki	polský
portugali	portugalský
pukkašak	vývrtka
pul	most, peníze
pur	plný
purmasoma	buněčný, buničitý
pursidan	ptát se, dotazovat se
pursiš	dotaz, otázka
pust	kůže
pustin	kožich
pušok	oblek
pušt	záda, hřbet
puxtan	vařit, péci
qabila	kmen, národ
qabul kardan	přijmout
qadam	krok
qafas	klec
qarb	západ
qasr	palác
qašqaldoq	jezevec
qeg kas	nikdo
qonun	zákon, právo
qoz	husa
qu	labuť
quk	ropucha
qulla	vrch, vrchol
qulom	nevolník
qulomi	nevolnictví, poroba
qurridan	výt, řvát
quvvat	moc
raftan	jít
rag	žíla
rahmat	milost
raksidan	tančit
ran	stehno, kýta
randa	hoblík
raqam	číslice
rasida	dospělý, zralý
rasidagi	dospělost, zralost
rasidan	dospět, dozrát
ravqan	máslo
ravšan	světelný
ravšani	světlo
raxna	díra
reg	písek
reša	kořen
revoj	rebarbora
rod	řeka
roh	cesta
rohbar	vůdce, průvodce
rost	pravda, pravý, pravdivý
rosti	pravda
rozak	chmel
rubidi	rubidium
ruboh	liška
ruftan	mést, zametat
ruh	duch, zinek
ruhsora	tvář, líce
rujat	seznam, listina
rumini	rumunský
rumolča	kapesník
ruqat	seznam, listina, soupis
rusi	ruský
ruxsat	prázdniny, dovolená
ruy	obličej, líc
ruz	den
sabz	zelený, zeleň
sad	sto
sadbarg	růže
sado	hlas
sadum	stý
sadum bor	stokrát
sadyak	setina
safar	cestování, jízda, cesta
safed	bílý
safedor	topol
sala	turban
salab	orchidej
salomati	zdraví
sang	kámen
sangpušt	želva
sanovbar	borovice, sosna
sar	hlava
sarkaš	tvrdohlavý, umíněný
savgang	přísaha
savsan	lilie
savsor	kuna
savvum	třetí
sayora	planeta
se	tři
seb	jablko
selen	selen
ser	nasycený, sytý
serbi	srbský
seyum	třetí
sihr	tajemství
siliciy	křemík
siloh	zbraň
simob	rtuť
sin	věk
sina	hruď, prsa
sinf	třída
sipar	štít
sipas	potom, pak
sipor	pluh
siposguzor	uznalý, vděčný
sipurz	slezina
sir	česnek
sirištan	válet, hníst
sirko	ocet
sitod	štáb
sitora	hvězda
sitorazor	hvězdný
siyoh	černý, čerň
siyosat	politika
skandi	skandium
slovaki	slovenský
sloveni	slovinský
soat	hodinky
sol	rok
sola	rok
solnoma	kalendář
solonai	roční, výroční
soya	stín
sozanda	hudebník, muzikant
sozgor	zdravý
soziš	soulad, souhlas
sozmon	organizace
Sozmoni Milali Muttaxid	Organizace spojených národů
sudmand	výhodný
suiqasd	vražda
sulfur	síra
sulola	dynastie
suol	otázka
suporidan	rozkázat, velet, přikázat, poručit
suqut	ticho, mlčení
surat	obraz, podoba
surb	olovo
surfa	kašel
surox	díra
surud	zpěv
surudan	zpívat
surx	červený, červeň
sust	pomalý, liknavý
sutun	sloup
suxtor	popálenina
suzan	jehla
suzon	horký, vřelý, palčivý
ša'n	sláva
šab	noc
šabona	noc
šabparak	noční můra
šadid	silný, mohutný
šafak	úsvit, svítání
šaffof	průhledný, průsvitný
šaftolu	broskev
šahodat	svědectví
šahr	město
šahri buzurg	velkoměsto
šahrvand	občan
šahrvandi	občanský, civilní
šak	pochybnost, nejistota
šakar	cukr
šalvor	kalhoty
šam	svíčka, svíce
šamol	vítr
šamšer	meč
šaraf	sláva
šarayon	tepna
šarbat	šťáva, džus
šariki	obyčejný, obecný, všední
šarm	hanba, ostuda
šarmgin	nesmělý, plachý, bázlivý
šarmin	stydlivý, ostýchavý
šarnoma	dohoda, úmluva
šarob	šťáva, džus
šarora	jiskra
šarq	východ
šart	sázka
šaš	šest
šašum	šestý
šašyak	šestina
šavhar	manžel, choť
šavq	zájem
šaxse	člověk, bytost
šelon	jídlo, chod
šer	lev
ševa	nářečí, dialekt
šift	strop
šikam	břicho
šikanja	mučení, muka
šikast	porážka
šikasta	rozbitý, zlomený
šikastan	lámat
šikof	díra
šikor	hon, lov
šikorči	lovec, myslivec
šikoridan	lovit, honit
šimol	sever
šino	plavání
šinondan	posadit, usadit
šinos	známý
šinoxtan	znát
šior	brázda
šir	mléko
širgarm	teplý, horký
širin	sladký, lahodný
širkat	úřad, kancelář, společnost
šistan	položit, umístit, sedět
šiša	láhev, sklo
šiyar	brázda
šod	veselý, radostný
šogird	žák
šoh	král
šohgavazn	los
šona	hřeben
šubušk	veš
šudan	stát se
šug	bajka
šuh	veselý, radostný
šuhratmand	známý
šuhratnok	známý
šujo'	odvážný, statečný
šujoat	odvaha, statečnost
šukufa	květina, květ
šula	plamen
šumo	vy
šumor	jiskra
šumtol	jasan
šumur	počet, výčet
šumurdan	počítat
šung	jasan
šunidan	slyšet
šuo	paprsek
šuql	povolání, zaměstnání
šuravi	svazový
šurbo	polévka
šuriš	povstání, pozdvižení
šuro	rada
šurrut	kapalina, tekutina
šurtan	štika
šustan	mýt, umývat
šuš	plíce
šutur	velbloud
šuur	vědomí, svědomí
šuxrat	sláva
švedi	švédský
ta'in	setkání
tab	horečka
tabar	sekera
tabdil	změna
tabiat	příroda
tadovi	uzdravení, vyléčení
tafsoniš	topení
tagarg	kroupy, krupobití
tahayur	údiv, úžas, ohromení
tahlil	rozbor
tajriba	zkušenost
takondan	třást, třepat, otřásat
takror	opakování
talab	žádost, prosba
talabidan	přát si, toužit
tamili	tamilský
taqo	strýc
tarjuman	překladatel, tlumočník
taroš	břitva
tarošidan	holit
tars	strach, obava
tarsidan	bát se, mít strach, obávat se
tarsončak	bojácný, zbabělý, bázlivý, zbabělec
tasma	pás, opasek, pásek
tavallud	narození, zrození
tavonistan	moci, smět
tavr	způsob
taxt	trůn
taxta	prkno, lávka
tayi	thajský
tayloq	tele
tayora	připravený, hotový
tešuk	díra
tez	ostrý, rychlý, prudký, rychle, honem
tillo	zlato
tin	stříbro
tir	osa
tiramoh	podzim
tirandoz	střelec
titan	titan
tobiston	léto
torik	tmavý, temný
tortanak	pavouk
totori	tatarský
tožik	tádžický
tu	ty
tuda	hromada, kupa
tuf	slina
tuhfa	dar
tuman	mlha
tund	hořký
turki	turecký
tus	bříza
tuxm	vejce
u	on
ukob	orel
ukraini	ukrajinský
ustuxon	kost
utok	kus
uzbek	uzbecký
va	a
vagon	vagon, vůz
vakte	když
vakte ki	mezitímco
vale	ale, avšak
vanadi	vanad
vaqt	čas
vaqte	když
vay	on, ona, ono
vazidan	vanout, foukat
vaznin	těžký
vengeri	maďarský
vetnami	vietnamský
vitrina	výloha, vitrína
xabar	novinka, zpráva
xam	také, rovněž, též
xamir	pasta
xamsoya	soused, bližní
xanda	smích
xandidan	smát se
xar	osel
xarf	písmo
xargiš	králík
xarob	hubený
xarorat	teplota
xatarnok	nebezpečí
xazanda	plaz
xedzvakt	kdy, vůbec někdy
xele	velmi
xeš	příbuzný
xirad	moudrost
xirs	medvěd
xišt	cihla
xizmat	služba
xlor	chlor
xob	spánek
xohar	sestra
xohiš	vůle
xok	půda, země
xokistar	popel
xoksor	prach
xomušak	komár
xona	dům
xondan	číst
xonum	paní, dáma
xorvati	chorvatský
xostan	chtít
xrom	chrom
xub	dobrý
Xudo	Bůh
Xudovand	Pán, Hospodin
xuk	vepř, prase
xun	krev
xurok	potrava, strava, pokrm
xuronidan	živit, krmit
xursandi	radost
xusur	tchán
xušbaxtona	naštěstí, šťastně
xušk	suchý
yagonagi	jednota
yak	jeden, jedna, jedno
yakčand	několik
yakum	první
yaroq	zbraň
yaxdon	lednička, lednice
yo	nebo
yoftan	nalézt, objevit, shledat
yordam dodan	pomáhat
yordam kardan	pomáhat
yos	šeřík
Yuhanno	Jan
yunoni	řecký
zabon	jazyk
zabonšinos	jazykovědec, lingvista
zabonšinosi	lingvistika, jazykověda
zahr	jed
zamin	země
zamiston	zima
zamon	čas, doba
zamoni guzašta	čas minulý
zamoni oyanda	čas budoucí
zanbur	vosa
zandor	ženich
zang	rez
zarguš	králík
zaxm	zranění, rána
zaxmxurda	raněný, poraněný, zraněný
zebogi	krása
zeboyand	nádherný
zero	neboť
zinda	živý, čilý
zindagi	život
zindagi kardan	žít
zistan	žít
ziyod	rozmnožení, rozšíření, zvětšení
zoqnul	krumpáč
zudzud	často
